"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5177","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","1","1","16.357918","0","13"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","1","1","14.605759","0","21"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","1","1","16.740753","0","22"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","9","2","1","40.778347","0","33"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","1","1","21.384335","0","10"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","30","1","1","104.937798","0","317"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","60","2","1","63.964924","0","1730"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","30","1","1","29.337124","0","376"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","9","1","1","8.945461","0","48"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","8","5","1","14.050756","0","29"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","4","1","1","5.019816","0","10"
"/Engine/VREditor/TransformGizmo/Main.Main","0","9","1","1","23.451124","0","39"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","9","6","1","17.775410","0","33"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","43","8","1","51.256496","0","498"
"/Game/LearningKit_Games/MaterialLibrary/Misc/M_Spline_Edges.M_Spline_Edges","0","8","3","1","10.376344","0","34"
"/Game/LearningKit_Games/MaterialLibrary/Misc/M_SensorMulti_UI.M_SensorMulti_UI","0","11","1","1","6.933013","0","69"
"/Game/LearningKit_Games/Assets/_Shared/Materials/M_unsharpmask_POST.M_unsharpmask_POST","0","6","3","1","4.876329","0","21"
"/Game/LearningKit_Games/Assets/_Shared/Materials/M_MASTER_OPAQUE.M_MASTER_OPAQUE","0","27","3","2","40.914398","0","139"
"/Game/LearningKit_Games/Assets/_Shared/Materials/M_Fresnel_MasterMaterial.M_Fresnel_MasterMaterial","0","4","4","1","4.016642","0","7"
"/Game/LearningKit_Games/Assets/VFX/Dependencies/Materials/M_VFX_EmissiveMesh.M_VFX_EmissiveMesh","0","54","2","2","54.972000","0","600"
"/Game/LearningKit_Games/Assets/Architecture/M_Kit_Wall_Door.M_Kit_Wall_Door","0","4","1","1","3.963663","0","10"
"/Game/Hour_of_Code/Materials/M_MASTER_OPAQUE.M_MASTER_OPAQUE","0","6","1","1","8.765947","0","26"
"/Game/BlockGame/Materials/M_BlockBase.M_BlockBase","0","8","1","1","7.974362","0","37"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","4","1","1","3.928152","0","13"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","14","4","1","17.822714","0","109"
"/Niagara/DefaultAssets/DefaultRIbbonMaterial.DefaultRibbonMaterial","0","60","1","1","65.584862","0","1738"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","60","1","1","68.047325","0","1806"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","14","1","1","17.528229","0","110"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","14","1","1","17.013130","0","101"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","14","1","1","17.667332","0","111"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","8","1","1","8.229015","0","36"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","9","1","1","8.755797","0","53"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","6","1","1","10.040157","0","26"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","10","1","1","24.297321","0","64"
"/ControlRig/M_Manip.M_Manip","0","10","2","1","10.650455","0","74"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","60","2","2","88.060249","0","1112"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","1","1","4.189830","0","13"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","6","1","1","4.912017","0","24"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","60","2","1","54.384163","0","1259"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","44","2","1","378.436737","0","593"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","10","1","1","8.008814","0","51"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","43","1","1","43.780056","0","374"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","40","9","1","41.484940","0","449"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","802","1","1","913.719788","0","43783"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","15","1","1","16.975527","0","106"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","57","20","6","82.114525","0","259"
"/Game/LearningKit_Games/MaterialLibrary/Misc/M_Spline_Center.M_Spline_Center","0","20","1","1","35.609825","0","130"
"/Game/LearningKit_Games/Assets/_Shared/Materials/M_RenderTarget.M_RenderTarget","0","4","1","1","3.612308","0","13"
"/Game/LearningKit_Games/Assets/_Shared/Materials/M_LearningKit_MasterGradient.M_LearningKit_MasterGradient","0","130","5","5","34.975430","0","935"
"/Game/LearningKit_Games/Assets/VFX/LightRay/M_vfx_lightray_01_bright.M_vfx_lightray_01_bright","0","36","1","1","33.986263","0","345"
"/Game/LearningKit_Games/Assets/VFX/Dependencies/Materials/M_WindTunnelWisps.M_WindTunnelWisps","0","18","1","1","25.445675","0","137"
"/Game/LearningKit_Games/Assets/VFX/Dependencies/Materials/M_WindTunnelRibbons.M_WindTunnelRibbons","0","54","1","1","84.806129","0","498"
"/Game/LearningKit_Games/Assets/VFX/Dependencies/Materials/M_WindTunnel.M_WindTunnel","0","50","1","1","66.917671","0","706"
"/Game/LearningKit_Games/Assets/VFX/Dependencies/Materials/M_LogoSweep.M_LogoSweep","0","27","1","1","30.799902","0","198"
"/Game/LearningKit_Games/Assets/VFX/Dependencies/Materials/M_ParticleMaskedFade.M_ParticleMaskedFade","0","54","1","1","53.932800","0","715"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","6","1","1","6.704102","0","26"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","6","1","1","5.268529","0","21"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","43","6","1","40.526016","0","400"
"","0","1","0","1","0.000000","37","0"
"/Game/LearningKit_Games/Assets/_Shared/Materials/M_TextRender_MASTER.M_TextRender_MASTER","0","15","3","1","18.037670","0","64"
"/Game/LearningKit_Games/Assets/VFX/Dependencies/Materials/M_WindWipe.M_WindWipe","0","96","3","2","136.181961","0","940"
